"state","acclength","areacode","interplan","vmailplan","vmailmess","daycalls","daycharge","evecalls","evecharge","nightcalls","nightcharge","intlcalls","intlcharge","custservcalls","churn"
"NJ",149,408,"no","no",0,94,23.87,92,23.1,108,8.47,9,3,1,"no"
"GA",98,408,"no","no",0,102,21.47,85,14.18,135,8.45,2,2.54,3,"no"
"AR",34,510,"no","no",0,82,21.22,98,23.99,78,14.02,4,2.7,2,"no"
"ID",160,415,"no","no",0,77,14.59,110,14.05,92,8.03,4,2.48,3,"no"
"WI",64,510,"no","no",0,67,26.18,118,19.19,86,11.94,3,0.95,1,"no"
"OR",59,408,"no","yes",28,97,20.55,92,18.11,116,7.34,5,2.3,2,"no"
"MI",65,415,"no","no",0,120,35.92,122,13.82,118,6.06,5,3.56,3,"no"
"DE",142,408,"no","no",0,133,31.79,74,11.44,127,10.9,5,2,2,"no"
"WY",97,415,"no","yes",24,135,22.64,58,18.46,79,3.18,3,2.97,1,"no"
"IA",52,408,"no","no",0,108,32.62,96,22.93,87,10.66,5,2.11,3,"no"
"IN",60,408,"no","no",0,57,37.5,115,17.94,129,11.21,3,1.84,1,"no"
"VA",10,408,"no","no",0,112,31.64,66,16.17,57,12.73,6,3.08,2,"no"
"UT",96,415,"no","no",0,117,27.23,67,22.74,68,10.28,5,2.51,2,"no"
"IN",81,408,"no","no",0,67,29.84,85,21.19,98,12.16,3,2.75,1,"no"
"CO",141,415,"no","no",0,98,21.57,62,15.3,128,6.34,2,2.16,1,"no"
"CO",121,408,"no","yes",30,129,33.73,77,6.4,77,8.15,3,1.57,3,"yes"
"OK",125,408,"no","no",0,103,38.98,126,15.08,95,8.52,8,3.24,1,"no"
"ID",174,408,"no","no",0,97,32.66,94,14.44,54,7.5,4,3.08,1,"no"
"CA",116,415,"no","yes",34,83,45.66,142,15.15,106,7.48,3,3.13,2,"no"
"MN",74,510,"no","yes",33,91,32.93,96,20.92,92,6.21,3,3.94,2,"no"
"SD",149,408,"no","yes",28,92,30.72,64,15.96,53,11.95,3,3.4,3,"no"
"NC",38,408,"no","no",0,98,22.3,97,13.85,106,7.15,6,2.21,2,"no"
"WA",40,415,"no","yes",41,74,25.18,88,14.41,102,9.63,5,1.67,2,"no"
"WY",43,415,"yes","no",0,105,42.76,104,18.09,67,7.1,4,2.51,0,"no"
"MN",113,408,"yes","no",0,93,21.28,119,17.54,139,5.82,8,2.24,0,"no"
"UT",126,408,"no","no",0,70,35.97,80,18.44,60,6.91,1,2.11,1,"no"
"NJ",138,408,"no","no",0,93,41.11,83,14.49,104,13.29,7,3.19,3,"no"
"MN",162,510,"no","yes",46,97,38.23,84,16,61,11.46,2,3.27,0,"no"
"NM",147,510,"no","no",0,83,42.26,85,12.66,109,7.76,4,2.16,3,"no"
"NV",90,415,"no","no",0,146,34.58,117,19.27,105,6.86,4,1.97,1,"no"
"HI",85,415,"no","no",0,109,40.09,94,13.36,99,8.47,3,3.24,0,"no"
"MN",50,415,"no","no",0,90,26.71,72,18.98,111,8.16,2,1.65,1,"no"
"DC",82,415,"no","no",0,109,51.05,100,15.39,73,12.15,4,3.16,0,"yes"
"MN",46,415,"no","no",0,72,36.4,104,13.97,113,7.99,3,2.21,2,"no"
"MD",70,408,"no","no",0,98,28.93,102,13.19,76,10.29,2,4.05,1,"no"
"WV",144,415,"no","no",0,99,34.19,74,25.8,119,10.08,2,3.56,1,"no"
"OR",116,415,"yes","no",0,104,36.62,79,17.41,109,12.53,5,3.4,3,"no"
"CO",55,408,"no","yes",25,123,28.15,95,11.57,90,7.91,2,2.97,3,"no"
"GA",70,415,"no","yes",24,101,42.42,98,22.07,68,10.02,4,2.65,1,"no"
"TX",106,510,"no","no",0,96,35.8,85,21.18,88,8.61,1,3.35,2,"yes"
"VT",128,510,"no","yes",29,104,30.48,86,19.2,78,14.54,7,2.32,0,"no"
"WV",111,510,"no","no",0,118,36.43,76,17.72,98,8.21,2,3.24,1,"no"
"KY",74,415,"no","yes",35,104,26.2,84,10.49,57,9.09,9,2.94,2,"no"
"NJ",128,415,"no","no",0,125,40.44,93,21.05,68,9.4,4,3.75,1,"yes"
"DC",82,510,"no","no",0,61,24.46,105,16.57,94,4.93,2,3,1,"no"
"LA",155,415,"no","no",0,100,34.58,104,16.23,119,8.82,4,2.4,0,"yes"
"AR",80,415,"no","no",0,100,21.13,107,14.71,62,11.39,9,2.13,1,"no"
"ME",78,415,"no","no",0,93,42.99,112,15.16,105,11.88,7,2.57,3,"no"
"AZ",90,415,"no","no",0,71,30.45,81,16.2,91,5.75,7,2.86,3,"no"
"AK",104,408,"no","no",0,106,47.33,113,6.89,137,7.34,5,2.65,1,"no"
"MT",73,415,"no","no",0,110,27.22,72,18.13,72,7.83,4,3.51,0,"no"
"MS",120,408,"no","no",0,131,36.06,104,17.8,96,7.52,5,1.43,1,"yes"
"ID",77,415,"no","no",0,72,42.81,126,17.48,109,12.38,7,2.65,2,"yes"
"MA",108,415,"no","no",0,137,30.31,76,16.07,102,5.81,5,3.94,0,"no"
"VT",135,415,"no","no",0,82,25.79,105,10.12,100,8.1,6,2.84,0,"no"
"KY",95,408,"no","no",0,99,22.95,106,15.61,102,11.04,9,3.38,1,"no"
"IN",122,408,"no","no",0,94,28.99,109,14.76,75,11.19,2,3.05,1,"no"
"MI",36,510,"no","yes",29,102,47.84,76,17.19,113,8.42,6,2.43,2,"no"
"NM",93,510,"no","yes",21,131,20.04,115,13.98,86,9.76,3,2.65,1,"no"
"CO",141,415,"no","yes",32,91,25.26,97,11.14,142,9.87,1,2.73,1,"no"
"UT",157,408,"no","no",0,90,39.07,121,12.57,108,10.86,7,2.59,3,"no"
"MI",120,408,"no","no",0,100,28.05,83,26.96,86,5.36,8,2.24,1,"no"
"MA",103,415,"no","no",0,117,31.45,94,18.98,91,10.03,2,3.4,2,"no"
"DE",125,408,"no","no",0,108,21.54,90,17.51,114,11.15,7,3.59,1,"no"
"AZ",63,415,"no","no",0,125,10.01,59,14.42,88,9.51,3,2.54,1,"no"
"NV",74,415,"no","no",0,114,48.03,48,18.69,115,7.65,4,2.54,1,"yes"
"MO",112,510,"no","yes",36,117,19.33,82,13.39,118,7.99,3,2.7,2,"no"
"ID",97,408,"no","no",0,125,40.77,111,18.26,81,6.45,5,2.35,2,"no"
"NE",46,408,"no","no",0,92,35.73,77,19.32,116,9,7,3.54,1,"no"
"TX",41,408,"no","yes",22,102,36.35,86,12.05,123,6.4,3,1.94,0,"no"
"MD",121,510,"no","no",0,103,32.42,117,15.6,103,9.94,4,2.65,3,"no"
"MS",193,415,"no","no",0,124,29.05,95,11.25,89,5.08,3,3.13,1,"no"
"NV",130,510,"no","no",0,119,26.21,98,9.37,117,10.23,5,2.48,2,"no"
"AZ",85,408,"no","no",0,52,34.24,104,19.5,106,11.36,3,3.24,1,"no"
"TX",92,408,"no","no",0,90,15.59,123,16.46,86,7.88,4,2.48,2,"no"
"NE",131,408,"no","yes",36,115,36.41,117,13.74,102,11.91,4,2.57,3,"no"
"NE",90,415,"no","no",0,92,24.74,114,18.5,123,6.61,2,2.94,3,"no"
"CA",75,408,"no","no",0,125,28.27,86,13.45,80,11.55,5,1.65,1,"no"
"NJ",78,415,"no","no",0,115,39.27,140,19.58,120,11.76,3,2.57,1,"no"
"AR",163,408,"no","no",0,109,33.49,128,17.22,80,9.29,10,2.46,1,"no"
"AL",91,510,"yes","no",0,112,22.08,83,14.73,130,11.12,3,3.02,3,"no"
"FL",91,510,"no","no",0,106,34.53,113,17.86,129,8.8,3,3.24,3,"no"
"AK",127,510,"no","yes",36,117,31.14,76,10.78,71,11.85,8,3.02,1,"no"
"NV",113,415,"no","yes",23,101,34.85,60,12.92,59,7.14,5,2.75,2,"no"
"DE",110,510,"no","no",0,115,25.25,84,23.49,112,8.71,3,3.35,1,"no"
"MD",120,415,"no","yes",39,68,34.05,97,18.73,116,11.42,4,2.84,0,"no"
"MI",157,415,"no","yes",28,107,32.74,74,16.62,139,4.94,5,1.84,3,"no"
"VT",117,408,"yes","no",0,86,28.41,87,15.09,132,11.22,7,3.81,2,"yes"
"MI",140,415,"no","no",0,101,39.42,94,13.61,98,4.97,6,3.86,3,"no"
"WA",127,408,"no","no",0,91,24.94,78,17.3,110,9.15,3,3.7,1,"no"
"UT",83,408,"yes","no",0,87,46.16,126,18.39,105,5.45,4,3.16,1,"no"
"LA",121,408,"no","no",0,121,30.86,98,18.56,103,7.27,5,2.3,1,"no"
"RI",145,408,"no","yes",43,97,43.81,95,13.78,86,12.91,4,3,2,"no"
"IA",113,408,"no","no",0,99,32.95,125,18.82,67,7.75,6,2.86,1,"no"
"NE",117,415,"no","no",0,119,17.48,91,17.57,105,13.46,7,2.73,1,"no"
"OH",65,408,"no","no",0,116,31.94,117,13.4,86,10.23,6,2.03,1,"no"
"LA",151,408,"no","no",0,116,30.38,138,24.83,101,11.97,4,2.65,0,"no"
"VA",139,510,"no","yes",23,129,26.79,96,21,112,11.66,2,3.7,0,"no"
"MO",6,510,"no","no",0,117,31.21,72,21.82,79,8.04,2,2.75,1,"no"
"FL",115,510,"no","yes",24,124,24.16,129,15.59,114,7.42,4,2.59,1,"no"
"SC",87,415,"no","no",0,97,23.17,108,14.64,101,6.19,5,1.92,0,"no"
"VA",141,415,"no","no",0,110,36.91,111,20.53,103,11.41,6,3.24,0,"no"
"IA",141,510,"no","yes",36,99,31.88,116,20.52,105,10.33,5,2.84,3,"no"
"MI",62,415,"no","no",0,103,16.81,122,11.51,82,10.65,1,3.29,1,"no"
"OK",146,415,"no","no",0,151,35.07,89,12.63,91,7.52,3,1.65,1,"no"
"DE",92,415,"no","yes",33,92,41.33,92,18.17,104,10.29,2,3.27,2,"no"
"GA",185,510,"no","yes",31,126,32.27,133,13.88,126,11.92,3,2.03,1,"no"
"DC",148,415,"no","no",0,102,34.34,128,20.67,90,11.76,3,2.94,1,"no"
"AZ",94,408,"no","yes",38,124,28.92,116,16.43,73,4.77,4,3.46,1,"no"
"AL",32,510,"no","no",0,87,39.25,90,15.93,53,6.93,2,1.7,0,"no"
"CO",68,408,"no","no",0,105,40.31,105,19,79,4.38,2,3.56,1,"no"
"NH",64,408,"no","yes",27,91,30.96,98,14.42,86,7.41,5,2.86,2,"no"
"NM",25,415,"no","no",0,87,20.28,101,17.98,86,12.1,4,2.84,3,"no"
"OR",65,415,"no","no",0,87,19.86,93,15.21,150,8.21,2,3.81,1,"no"
"LA",179,408,"no","no",0,92,37.26,125,12.7,104,11.01,5,1.65,0,"no"
"NE",94,415,"no","no",0,104,42.94,125,14.37,106,7.69,7,3,2,"no"
"MN",62,415,"no","no",0,91,25.01,107,16.18,115,8.78,3,3.29,0,"no"
"MI",127,415,"no","no",0,103,34.36,86,19.5,113,8.78,3,3.11,2,"no"
"AR",116,408,"no","no",0,93,29.5,76,16.5,112,9.36,10,4.37,3,"no"
"NH",19,408,"no","no",0,98,31.64,57,21.62,127,9.63,7,3.94,2,"no"
"VA",170,510,"yes","no",0,68,44.18,122,20.83,121,6.05,3,2.27,3,"no"
"AZ",93,415,"no","no",0,71,46.17,108,19.5,121,3.48,3,2.94,2,"no"
"WY",164,510,"no","no",0,111,27.3,126,13.87,112,8.42,3,2.43,1,"no"
"WA",51,408,"no","no",0,109,39.51,95,15.93,107,10.4,3,2.46,1,"no"
"CO",107,415,"no","no",0,85,22.75,94,15.34,115,5.05,4,2.4,0,"no"
"TX",130,415,"no","no",0,109,30.07,104,7.71,69,10.71,2,2.57,1,"no"
"KY",80,408,"no","no",0,74,35.68,77,16.58,119,9.37,4,2.38,2,"no"
"MT",94,415,"no","no",0,118,23.38,88,17.27,131,6.75,2,3.62,0,"no"
"OK",118,408,"no","yes",23,52,49.22,111,14.16,88,5.36,4,2.57,1,"no"
"MD",117,415,"no","yes",23,86,33.68,86,15.05,92,8.12,6,1.84,1,"no"
"TN",78,415,"no","no",0,119,25.45,115,15.49,126,11.77,8,2.62,0,"no"
"DC",63,408,"no","no",0,64,14.11,106,15.05,89,11.06,3,3.51,0,"no"
"MN",53,415,"no","yes",24,146,24.77,136,18.74,96,11.25,5,3.54,3,"no"
"DE",62,408,"no","no",0,101,30.99,93,27.9,131,11.03,1,3.02,2,"no"
"MD",97,415,"no","no",0,86,37.06,94,15.64,110,10.82,8,1.73,3,"no"
"MI",105,510,"no","no",0,109,23.9,51,15.18,83,9.76,3,1.84,2,"no"
"WA",157,415,"no","no",0,105,25.96,80,21.89,93,8.91,4,2.54,1,"no"
"MO",66,415,"no","yes",36,76,18.14,77,17.83,117,8.57,2,3.27,1,"no"
"IN",122,415,"no","no",0,98,41.45,72,7.13,84,8.09,8,3.7,2,"no"
"OR",38,415,"no","no",0,94,33.05,95,15.87,90,10.05,5,2.92,3,"no"
"MD",106,510,"no","no",0,95,36.36,70,12.91,124,11.7,5,3.29,3,"no"
"RI",99,510,"no","no",0,112,36.92,89,20.97,89,10.17,7,4.27,3,"no"
"LA",99,415,"no","no",0,72,40.99,98,13.23,109,8.47,10,3.13,1,"no"
"PA",82,415,"no","yes",24,131,26.38,106,20.78,68,5.51,3,2.89,1,"no"
"AZ",86,408,"no","yes",31,139,28.49,118,9.61,121,11.11,6,3.29,1,"no"
"LA",93,415,"no","no",0,93,30.48,98,15.18,131,10.13,6,3.11,3,"no"
"FL",93,415,"no","no",0,89,25.74,76,15.84,120,7.76,3,2.94,0,"no"
"FL",120,415,"no","no",0,80,30.6,82,19.06,91,11.94,7,1.27,3,"no"
"MD",136,415,"no","no",0,121,42.53,118,22.7,114,6.8,2,3.51,1,"yes"
"WA",81,415,"no","no",0,116,31.21,98,12.97,99,9.55,6,3.29,3,"no"
"TN",127,408,"no","yes",22,114,28.22,103,14.83,68,11.02,6,2.75,1,"no"
"MS",65,415,"no","no",0,112,23.14,96,23.2,104,9.91,2,1.19,1,"no"
"ME",35,408,"no","no",0,113,25.38,122,20.59,104,7.84,6,2.4,2,"no"
"OK",88,408,"no","no",0,97,11.12,76,14.3,113,10.62,1,3.73,2,"no"
"MO",123,415,"no","no",0,85,35.17,78,20.8,136,9.97,2,2.08,3,"no"
"IA",126,408,"no","yes",27,78,31.65,83,16.12,139,3.44,3,2.59,2,"no"
"KY",45,415,"no","yes",22,84,33.42,92,26.62,108,7.35,3,3.21,0,"no"
"MD",93,408,"yes","no",0,109,53.04,100,11,74,9.79,2,2.84,0,"yes"
"OH",63,415,"yes","yes",36,110,33.83,111,24.76,92,8.89,6,2.97,1,"no"
"OK",100,415,"no","no",0,96,34.53,126,18.45,122,8.14,2,3.65,3,"no"
"NV",53,415,"no","no",0,97,28.7,87,18.73,113,6.94,2,2.94,0,"no"
"ID",92,415,"yes","no",0,140,29.43,105,20.43,117,10.49,5,2.43,1,"no"
"SD",110,408,"no","yes",40,103,34.44,128,10.1,98,10.57,9,2.43,2,"no"
"IL",110,408,"no","no",0,117,12.67,98,17.07,101,8.65,7,2.65,3,"no"
"AL",73,415,"no","no",0,86,32.67,116,14.33,87,6.29,6,2.54,1,"no"
"NJ",138,510,"no","no",0,89,37.43,125,7.51,79,8.79,5,3.48,0,"no"
"NV",137,415,"yes","no",0,95,22.97,102,11.4,81,10.04,2,3.32,2,"yes"
"IN",36,415,"no","no",0,77,43.08,151,15.5,103,12.41,2,2.27,1,"no"
"WV",85,408,"no","no",0,81,38.25,63,15.04,110,8.74,2,1.92,3,"no"
"SC",22,408,"no","no",0,107,18.75,93,14.15,96,9.1,5,2.57,0,"no"
"RI",107,415,"no","yes",37,102,10.2,80,8.69,106,11.78,3,3,0,"no"
"IN",51,510,"no","no",0,94,36.52,58,12.72,66,12.75,5,2.75,0,"no"
"NM",119,510,"no","yes",23,114,26.18,137,23.63,112,10.28,4,3.19,2,"no"
"MS",82,408,"no","no",0,90,35.19,83,19.8,108,7.76,8,2.46,3,"no"
"MI",86,510,"no","yes",41,101,20.23,134,19.55,58,10.66,3,2.57,0,"no"
"TX",97,415,"yes","no",0,117,24.43,82,23.21,81,8.02,3,2.94,0,"no"
"DC",108,510,"no","no",0,122,23.56,117,14.65,92,10.42,3,2.65,1,"no"
"TX",114,415,"no","no",0,118,14.4,86,21.24,95,8.7,8,3.92,1,"no"
"KS",92,408,"yes","no",0,111,10.64,126,15.35,80,9.98,2,2.81,1,"yes"
"UT",59,510,"no","no",0,79,26.38,123,20,80,7.62,4,2.35,1,"no"
"MN",24,510,"no","yes",25,110,28.03,105,17.79,55,10.4,9,1.81,1,"no"
"IL",151,408,"no","no",0,88,22.87,112,12.16,61,10.08,1,4.16,1,"no"
"NM",117,415,"no","no",0,103,24.36,108,17.96,96,8.33,3,3.11,1,"no"
"SC",78,510,"no","no",0,110,28.61,73,18.8,136,10.85,1,3.38,1,"no"
"NC",155,408,"no","no",0,55,44.61,113,16.54,85,6.59,6,2.24,2,"no"
"WV",114,510,"no","yes",30,79,35.05,91,22.1,83,13.12,6,3.08,1,"no"
"NH",119,408,"no","no",0,89,23.51,78,14.49,98,11.88,6,3.65,3,"no"
"MA",118,408,"yes","no",0,123,27.2,96,14.91,99,8.32,3,2.67,2,"no"
"PA",101,415,"no","no",0,105,35.12,117,19.12,100,11.25,3,3.94,0,"no"
"OK",117,415,"no","no",0,121,22.9,83,15.3,104,9.04,3,2.08,1,"no"
"WY",139,415,"no","no",0,104,32.78,96,19.92,101,9.14,3,3.51,3,"no"
"PA",92,408,"no","yes",28,90,25.69,79,16.56,114,10.76,3,2.7,1,"no"
"WA",83,415,"no","no",0,103,37.64,103,19.7,100,5.51,5,2.65,3,"no"
"HI",148,510,"yes","no",0,88,37.21,85,17.68,99,9.15,4,3,0,"no"
"AL",131,415,"no","yes",25,85,32.76,105,19.2,59,11.44,6,2.94,2,"no"
"VT",146,510,"yes","no",0,135,34.75,90,18.62,114,10.02,6,2.84,3,"no"
"MT",143,415,"no","no",0,97,29.29,108,14.79,119,8.47,4,3.51,2,"no"
"MN",81,415,"no","no",0,93,33.73,108,17.93,71,8.7,6,2.81,2,"no"
"AK",48,415,"no","yes",37,115,35.99,84,13.59,80,6.48,1,3.29,1,"no"
"MI",86,415,"no","yes",28,74,37.67,100,24.51,105,10.81,2,2.43,1,"no"
"DE",71,415,"no","no",0,108,33.64,109,15.43,56,12.66,5,1.81,3,"no"
"SD",145,408,"no","yes",24,90,25.08,108,14.93,102,11.34,3,4.21,2,"no"
"MI",137,510,"no","no",0,122,35.09,102,10.88,84,8.75,5,2.38,2,"no"
"KS",137,408,"no","no",0,88,35,86,17.79,84,13.05,4,3.92,2,"no"
"AL",167,510,"no","no",0,88,35.29,63,11.25,98,11.48,5,3.81,0,"no"
"OK",89,510,"no","no",0,95,51.66,114,22.18,89,14.04,3,1.43,1,"yes"
"CT",199,415,"no","yes",34,121,39.2,99,18.65,94,13.47,2,2.16,0,"no"
"NE",132,510,"no","no",0,110,16.92,80,10.97,124,5.63,3,2.62,0,"no"
"WI",94,510,"no","no",0,112,30.11,112,16.49,108,6.6,4,1.59,1,"no"
"WI",96,510,"no","yes",18,86,29.36,113,11.34,70,11.68,3,2.65,1,"no"
"IN",166,510,"no","no",0,115,34.71,152,15.29,109,9.76,5,2.57,1,"no"
"DC",74,415,"no","no",0,83,14.57,67,21.05,85,6.41,5,2.73,2,"no"
"AR",36,415,"no","no",0,117,26.79,58,15.67,99,10.82,1,3.21,0,"no"
"MN",94,415,"no","no",0,98,30.86,88,16.99,114,12.95,5,1.78,1,"no"
"MD",67,415,"no","no",0,80,29.19,81,9.38,111,8.79,4,3.21,2,"no"
"IA",158,415,"no","no",0,106,26.86,114,24.86,89,10.85,4,2.46,1,"no"
"AZ",136,510,"no","no",0,117,15.64,77,21.56,90,9.63,10,2.78,1,"no"
"MO",196,415,"no","no",0,109,39.78,114,21.21,70,7.79,5,2.46,2,"no"
"VT",113,415,"no","no",0,111,46.26,118,22.82,105,9.62,10,2.3,1,"yes"
"RI",112,510,"no","no",0,101,33.05,82,16.18,107,8.25,2,3.08,0,"no"
"MN",62,415,"no","no",0,109,42.28,118,18.7,78,11.96,2,3.56,1,"yes"
"TX",110,415,"no","yes",38,102,40.17,112,16.65,82,8.26,6,2.62,1,"no"
"VA",16,510,"no","no",0,69,34.95,93,14.41,64,9.9,3,2.94,0,"no"
"MA",73,408,"no","no",0,136,16,122,23.83,77,9.23,4,2.65,0,"no"
"GA",103,415,"no","yes",28,105,20.57,100,22.98,76,7.22,4,2.08,2,"no"
"RI",119,415,"no","yes",29,66,20.03,114,21.83,76,6.64,3,2.05,3,"no"
"ID",173,510,"no","yes",21,96,39.51,118,18.01,102,12.29,5,1.35,3,"no"
"SD",128,510,"yes","yes",32,81,38,74,16.05,101,6.97,2,2.54,2,"yes"
"MA",86,510,"no","no",0,79,29.97,97,22.03,78,12.93,3,1.67,0,"no"
"WY",114,415,"no","yes",32,79,21.28,105,15.11,89,10.46,3,3.48,1,"no"
"VA",104,408,"no","no",0,107,23.58,113,21.84,74,10.57,3,2.7,0,"no"
"OR",148,415,"no","no",0,134,14.67,92,20.96,91,11.32,4,3.05,1,"no"
"VA",129,408,"no","no",0,91,35.19,121,13.17,112,11.03,5,3.62,3,"no"
"ME",100,510,"no","yes",30,104,10,107,18.66,118,6.85,3,1.92,0,"no"
"GA",143,408,"no","yes",33,109,40.66,112,20.02,95,7.03,4,2.57,1,"no"
"IA",76,510,"no","no",0,130,33.71,86,18.45,96,8.48,3,3.38,0,"no"
"FL",116,510,"no","no",0,98,32.66,135,26.6,94,5.86,2,2.13,3,"no"
"MT",54,415,"no","no",0,83,46.34,74,21.14,111,8.88,2,2.57,1,"yes"
"DE",108,510,"no","no",0,99,28.83,87,22.45,78,9.28,4,2.51,0,"no"
"MT",66,510,"no","no",0,95,34.22,66,12.99,101,10.49,4,2.03,1,"no"
"SC",99,510,"no","no",0,70,28.76,77,23.08,104,7.66,2,2.86,0,"no"
"WA",55,415,"no","no",0,121,33,110,15.01,136,13.63,7,1.89,2,"no"
"OR",77,510,"no","no",0,104,39.75,94,22.65,104,9.57,3,2.05,2,"no"
"AK",78,408,"no","no",0,67,38.27,127,16.93,102,7.9,2,3.94,0,"no"
"GA",89,415,"no","no",0,63,36.21,71,15.01,126,11.82,1,2.46,1,"yes"
"IL",44,415,"no","yes",34,105,37.71,85,13.74,62,10.25,7,3.78,0,"no"
"SC",64,510,"no","yes",37,92,26.28,103,7.09,99,7.47,3,3.59,1,"no"
"VA",141,415,"no","no",0,131,44.23,120,15.23,119,6.08,8,1.94,3,"no"
"WI",81,415,"no","yes",33,117,27.47,90,10.46,101,11.76,5,3.29,1,"no"
"AZ",83,415,"no","yes",41,122,26.5,107,13.8,105,5.74,5,3.54,3,"no"
"AR",79,408,"no","no",0,112,25.87,132,15.06,87,4.34,3,1.43,1,"no"
"AK",117,415,"no","no",0,95,30.86,88,17.43,82,9.18,9,3.97,2,"no"
"MS",64,408,"yes","no",0,77,40.15,85,18.58,97,8.73,2,3.56,2,"yes"
"ME",31,415,"no","no",0,105,28.24,93,6.74,98,9.62,2,3.43,1,"no"
"CA",124,408,"yes","no",0,89,41.58,80,16.05,114,9.27,4,3.05,1,"no"
"NM",122,408,"no","yes",23,85,22.81,132,19.32,96,5.51,2,2.3,2,"no"
"NE",37,408,"yes","yes",39,122,25.45,75,17.94,90,5.14,4,2.48,1,"no"
"SC",90,408,"no","yes",29,109,25.52,103,22.5,97,8.03,4,1.57,1,"no"
"CO",159,408,"yes","no",0,53,43.71,127,26.54,82,8.24,6,2.38,1,"yes"
"DE",148,415,"no","no",0,83,21.15,81,15.27,99,11.39,6,3.05,0,"no"
"OH",39,415,"no","yes",36,121,24.09,113,19.75,131,9.99,5,3.24,1,"no"
"MS",77,408,"no","no",0,87,39.1,138,8.77,136,13.93,3,3.05,2,"no"
"OK",194,408,"no","no",0,88,27.59,118,18.16,81,8.64,2,2.94,0,"no"
"KS",132,415,"no","no",0,110,14.18,137,19.74,114,6.6,5,2.05,1,"no"
"MA",128,415,"no","no",0,99,33.25,120,22.76,76,7.42,2,4.32,0,"no"
"NC",135,415,"no","no",0,81,34.31,114,19.13,82,9.2,6,2.78,1,"no"
"NM",56,408,"no","no",0,110,33.49,102,18.94,91,10.14,6,2.86,2,"no"
"CA",151,415,"yes","no",0,57,37.06,88,9.72,95,12.11,1,3.35,0,"yes"
"NY",32,415,"no","no",0,98,28.02,96,19.54,108,7.53,2,4,2,"no"
"AZ",90,415,"no","no",0,77,30.46,99,17.91,58,12.46,6,2.48,2,"no"
"SD",87,415,"no","yes",21,113,36.38,114,15.3,82,6.05,5,2.86,0,"no"
"DC",138,415,"no","no",0,87,28.99,116,10.05,111,8.46,7,3.02,2,"no"
"MO",95,415,"yes","no",0,84,28.14,112,24.33,89,8.95,2,3.11,1,"yes"
"KS",127,415,"no","no",0,100,37.57,113,13.66,96,10.49,4,1.84,2,"no"
"SD",137,510,"no","no",0,118,41.16,93,16.24,50,9.84,2,3.97,3,"no"
